Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
0,3,0,2,7.25,0,1,0,6
1,1,1,3,71.2833,2,5,0,3
1,3,1,2,7.925,0,4,1,6
1,1,1,3,53.1,0,5,0,3
0,3,0,3,8.05,0,1,1,9
0,3,0,2,8.4583,1,1,1,6
0,1,0,4,51.8625,0,1,1,4
0,3,0,5,21.075,0,3,0,15
1,3,1,2,11.1333,0,5,0,6
1,2,1,5,30.0708,2,5,0,10
1,3,1,5,16.7,0,4,0,15
1,1,1,4,26.55,0,4,1,4
0,3,0,2,8.05,0,1,1,6
0,3,0,3,31.275,0,1,0,9
0,3,1,5,7.8542,0,4,1,15
1,2,1,4,16.0,0,5,1,8
0,3,0,5,29.125,1,3,0,15
1,2,0,2,13.0,0,1,1,4
0,3,1,2,18.0,0,5,0,6
1,3,1,2,7.225,2,5,1,6
0,2,0,3,26.0,0,1,1,6
1,2,0,3,13.0,0,1,1,6
1,3,1,5,8.0292,1,4,1,15
1,1,0,2,35.5,0,1,1,2
0,3,1,5,21.075,0,4,0,15
1,3,1,3,31.3875,0,5,0,9
0,3,0,2,7.225,2,1,1,6
0,1,0,2,263.0,0,1,0,2
1,3,1,2,7.8792,1,4,1,6
0,3,0,2,7.8958,0,1,1,6
0,1,0,3,27.7208,2,2,1,3
1,1,1,3,146.5208,2,5,0,3
1,3,1,2,7.75,1,4,1,6
0,2,0,1,10.5,0,1,1,2
0,1,0,2,82.1708,2,1,0,2
0,1,0,3,52.0,0,1,0,3
1,3,0,2,7.2292,2,1,1,6
0,3,0,2,8.05,0,1,1,6
0,3,1,2,18.0,0,4,0,6
1,3,1,5,11.2417,2,4,0,15
0,3,1,3,9.475,0,5,0,9
0,2,1,2,21.0,0,5,0,4
0,3,0,2,7.8958,2,1,1,6
1,2,1,5,41.5792,2,4,0,10
1,3,1,2,7.8792,1,4,1,6
0,3,0,2,8.05,0,1,1,6
0,3,0,2,15.5,1,1,0,6
1,3,1,2,7.75,1,4,1,6
0,3,0,2,21.6792,2,1,0,6
0,3,1,2,17.8,0,5,0,6
0,3,0,5,39.6875,0,3,0,15
0,3,0,2,7.8,0,1,1,6
1,1,1,4,76.7292,2,5,0,4
1,2,1,2,26.0,0,5,0,4
0,1,0,1,61.9792,2,1,0,1
1,1,0,3,35.5,0,1,1,3
1,2,1,2,10.5,0,4,1,4
0,3,0,2,7.2292,2,1,1,6
1,2,1,5,27.75,0,4,0,10
0,3,0,5,46.9,0,3,0,15
0,3,0,2,7.2292,2,1,1,6
1,1,1,3,80.0,0,4,1,3
0,1,0,3,83.475,0,1,0,3
0,3,0,5,27.9,0,3,0,15
0,1,0,3,27.7208,2,1,1,3
1,3,0,2,15.2458,2,3,0,6
1,2,1,2,10.5,0,5,1,4
0,3,0,2,8.1583,0,1,1,6
1,3,1,2,7.925,0,4,0,6
0,3,0,2,8.6625,0,1,0,6
0,2,0,2,10.5,0,1,1,4
0,3,1,5,46.9,0,4,0,15
0,2,0,2,73.5,0,1,1,4
0,3,0,2,14.4542,2,1,0,6
1,3,0,2,56.4958,0,1,1,6
0,3,0,2,7.65,0,1,1,6
0,3,0,2,7.8958,0,1,1,6
0,3,0,2,8.05,0,1,1,6
1,2,0,5,29.0,0,3,0,10
1,3,1,2,12.475,0,4,1,6
0,3,0,2,9.0,0,1,1,6
1,3,0,2,9.5,0,1,1,6
1,3,1,2,7.7875,1,4,1,6
0,1,0,2,47.1,0,1,1,2
1,2,1,2,10.5,0,4,1,4
1,3,1,3,15.85,0,5,0,9
0,3,0,5,34.375,0,1,0,15
0,3,0,2,8.05,0,1,1,6
1,1,1,2,263.0,0,4,0,2
0,3,0,2,8.05,0,1,1,6
0,3,0,2,8.05,0,1,1,6
0,3,0,2,7.8542,0,1,1,6
0,1,0,3,61.175,0,1,0,3
0,3,0,2,20.575,0,1,0,6
0,3,0,4,7.25,0,1,1,12
0,3,0,2,8.05,0,1,1,6
0,1,0,1,34.6542,2,1,1,1
1,1,0,2,63.3583,2,1,0,2
1,2,1,3,23.0,0,5,0,6
0,2,0,3,26.0,0,1,0,6
0,3,1,2,7.8958,0,4,1,6
0,3,0,2,7.8958,0,1,1,6
0,1,0,2,77.2875,0,1,0,2
0,3,0,3,8.6542,0,1,1,9
0,3,0,3,7.925,0,1,0,9
0,3,0,2,7.8958,0,1,1,6
1,3,1,2,7.65,0,4,1,6
1,3,0,2,7.775,0,1,1,6
0,3,0,3,7.8958,0,1,1,9
1,3,1,2,24.15,1,4,0,6
0,1,0,3,52.0,0,1,1,3
0,3,1,5,14.4542,2,4,0,15
0,3,0,2,8.05,0,1,1,6
0,3,1,2,9.825,0,4,0,6
0,3,1,2,14.4583,2,4,1,6
0,3,0,2,7.925,0,1,1,6
0,3,0,1,7.75,1,1,1,3
0,2,0,2,21.0,0,1,0,4
0,1,0,2,247.5208,2,1,0,2
0,3,1,5,31.275,0,4,0,15
0,2,0,2,73.5,0,1,0,4
0,3,0,2,8.05,0,1,1,6
0,2,0,2,30.0708,2,1,0,4
1,2,1,2,13.0,0,4,1,4
0,1,0,4,77.2875,0,1,0,4
1,3,0,5,11.2417,2,3,0,15
0,3,0,2,7.75,1,1,1,6
1,3,0,2,7.1417,0,1,1,6
1,3,1,2,22.3583,2,4,0,6
0,3,0,3,6.975,0,1,1,9
0,3,0,3,7.8958,2,1,1,9
0,3,0,2,7.05,0,1,1,6
0,3,1,3,14.5,0,5,0,9
1,2,1,2,26.0,0,5,0,4
0,2,0,2,13.0,0,1,1,4
0,2,0,2,15.0458,2,1,1,4
1,1,1,2,26.2833,0,4,0,2
0,1,0,3,53.1,0,1,0,3
0,3,0,5,9.2167,0,1,1,15
0,1,0,2,79.2,2,1,1,2
0,3,1,2,15.2458,2,5,0,6
1,3,1,2,7.75,0,4,1,6
1,3,1,2,15.85,0,5,0,6
0,3,0,2,6.75,1,1,1,6
0,2,0,2,11.5,0,1,1,4
0,2,0,2,36.75,0,1,0,4
1,3,0,2,7.7958,0,1,1,6
0,3,1,5,34.375,0,4,0,15
0,2,0,3,26.0,0,1,0,6
0,2,0,3,13.0,0,2,1,6
0,2,0,4,12.525,0,2,1,8
1,1,1,2,66.6,0,5,0,2
0,3,0,4,8.05,0,1,1,12
0,3,0,3,14.5,0,1,0,9
0,3,0,2,7.3125,0,1,1,6
0,1,0,4,61.3792,2,1,0,4
1,3,1,5,7.7333,1,4,1,15
0,3,0,2,8.05,0,1,1,6
0,3,0,2,8.6625,0,1,1,6
